Airlines,Scheduled Time of Departure,Actual Time of Departure,Flight,Destination,Status
Qatar Airways,17:40:0,17:40:0,QR647,Doha,Boarding Completed
Air India,17:42:0,17:42:0,AI220,Delhi,Departed
Qatar Airways,19:5:0,19:5:0,QR645,Doha,Last Call
Flydubai,19:40:0,19:40:0,FZ1538,Dubai,Security Check
Himalaya Airlines,20:5:0,20:5:0,H9559,Dammam,Security Check
Air India,21:5:0,21:5:0,AI212,Delhi,Security Check
Air Arabia,21:25:0,21:25:0,G9531,Sharjah,Security Check
Batik Air,21:25:0,21:25:0,OD181,Kuala Lumpur,Check in
Himalaya Airlines,21:40:0,21:40:0,H9363,Doha,Check in
Nepal Airlines,21:50:0,21:50:0,RA417,Guangzhou,Check in
Biman Bangladesh,22:25:0,22:25:0,BG374,Dhaka,Delayed
Malaysia Airlines,22:30:0,22:30:0,MH115,Kuala Lumpur,Check in
Cathay Pacific,22:55:0,22:55:0,CX640,Hong Kong,----
Singapore Airlines,23:5:0,23:5:0,SQ441,Singapore,----
Nepal Airlines,23:15:0,23:15:0,RA229,Dubai,----
China Southern,23:30:0,23:30:0,CZ3068,Guangzhou,----
Nepal Airlines,23:30:0,23:30:0,RA433,Narita,----
Kuwait Airways,0:5:0,0:5:0,KU394,Kuwait,----
Thai Airways,0:25:0,0:25:0,TG310,Bangkok,----
Flydubai,0:30:0,0:30:0,FZ574,Dubai,----
