Airlines,Scheduled Time of Arrival,Estimated Time of Arrival,Flight,Origin,Status
Buddha Air,8:30:0,10:40:0,BHA352,Bharatpur,----
Buddha Air,9:0:0,9:40:0,BHA552,Simara Airport,Landed
Shree Airlines,9:0:0,9:0:0,SHA732,Biratnagar,----
Buddha Air,9:5:0,9:44:0,BHA952,Bhadrapur,Landed
Buddha Air,9:15:0,9:15:0,BHA502,Janakpur,----
Yeti Airlines,9:20:0,9:40:0,NYT674,Pokhara,Landed
Yeti Airlines,9:35:0,9:35:0,NYT872,Bhairahawa,----
Buddha Air,9:40:0,9:40:0,BHA852,Bhairahawa,----
Buddha Air,9:45:0,10:30:0,BHA452,Nepalgunj,----
Shree Airlines,9:45:0,9:45:0,SHA656,Pokhara,----
Buddha Air,9:55:0,10:10:0,BHA604,Pokhara,----
Buddha Air,9:55:0,9:55:0,BHA702,Biratnagar,----
Yeti Airlines,10:10:0,10:10:0,NYT782,Biratnagar,----
Yeti Airlines,10:30:0,10:30:0,NYT928,Bhadrapur,----
Nepal Airlines,10:30:0,10:30:0,RA178,Resunga,----
Shree Airlines,10:35:0,10:35:0,SHA432,Nepalgunj,----
Buddha Air,10:40:0,10:40:0,BHA134,Surkhet,----
Shree Airlines,10:40:0,10:40:0,SHA222,Dhangadhi,----
Buddha Air,10:45:0,11:20:0,BHA252,Dhangadhi,----
Buddha Air,10:45:0,10:45:0,BHA854,Bhairahawa,----
Yeti Airlines,11:0:0,11:0:0,NYT676,Pokhara,----
Shree Airlines,11:5:0,11:5:0,SHA734,Biratnagar,----
Buddha Air,11:15:0,11:15:0,BHA282,Tumlingtar,----
Buddha Air,11:20:0,11:20:0,BHA608,Pokhara,----
Buddha Air,11:30:0,11:30:0,BHA554,Simara Airport,----
Shree Airlines,11:40:0,11:40:0,SHA942,Bhadrapur,----
Buddha Air,11:50:0,11:50:0,BHA504,Janakpur,----
Buddha Air,11:50:0,11:50:0,BHA954,Bhadrapur,----
Buddha Air,12:10:0,12:10:0,BHA610,Pokhara,----
Buddha Air,12:10:0,12:10:0,BHA704,Biratnagar,----
Buddha Air,12:15:0,12:15:0,BHA372,Bharatpur,----
Yeti Airlines,12:15:0,12:15:0,NYT678,Pokhara,----
Yeti Airlines,12:20:0,12:20:0,NYT922,Bhadrapur,----
Shree Airlines,12:20:0,12:20:0,SHA122,Surkhet,----
Buddha Air,12:25:0,12:25:0,BHA356,Bharatpur,----
Yeti Airlines,12:35:0,12:35:0,NYT874,Bhairahawa,----
Shree Airlines,12:35:0,12:35:0,SHA824,Bhairahawa,----
Buddha Air,12:50:0,12:50:0,BHA404,Nepalgunj,----
Buddha Air,13:0:0,13:0:0,BHA856,Bhairahawa,----
Buddha Air,13:5:0,13:5:0,BHA172,Rajbiraj,----
Yeti Airlines,13:10:0,13:10:0,NYT784,Biratnagar,----
Nepal Airlines,13:20:0,13:20:0,RA188,Dang,----
Buddha Air,13:25:0,13:25:0,BHA556,Simara Airport,----
Buddha Air,13:30:0,13:30:0,BHA956,Bhadrapur,----
Shree Airlines,13:30:0,13:30:0,SHA224,Dhangadhi,----
Buddha Air,13:35:0,13:35:0,BHA612,Pokhara,----
Shree Airlines,13:35:0,13:35:0,SHA736,Biratnagar,----
Buddha Air,13:45:0,13:45:0,BHA812,Bhairahawa,----
Yeti Airlines,13:50:0,13:50:0,NYT680,Pokhara,----
Buddha Air,14:0:0,14:30:0,BHA606,Pokhara,----
Buddha Air,14:0:0,14:0:0,BHA706,Biratnagar,----
Buddha Air,14:5:0,14:5:0,BHA506,Janakpur,----
Buddha Air,14:15:0,14:15:0,BHA358,Bharatpur,----
Shree Airlines,14:15:0,14:15:0,SHA436,Nepalgunj,----
Buddha Air,14:25:0,14:25:0,BHA614,Pokhara,----
Buddha Air,14:40:0,14:40:0,BHA374,Bharatpur,----
Buddha Air,14:55:0,14:55:0,BHA958,Bhadrapur,----
Yeti Airlines,14:55:0,14:55:0,NYT786,Biratnagar,----
Yeti Airlines,15:5:0,15:5:0,NYT876,Bhairahawa,----
Shree Airlines,15:5:0,15:5:0,SHA944,Bhadrapur,----
