Airlines,SCHEDULED TIME OF Departure,Actual Time of Departure,Flight,Destination,Status
Buddha Air,7:20:0,9:32:0,BHA351,Bharatpur,Departed
Shree Airlines,7:30:0,9:45:0,SHA731,Biratnagar,Delay due to weather
Buddha Air,7:55:0,10:0:0,BHA851,Bhairahawa,Delay due to weather
Buddha Air,8:0:0,9:30:0,BHA501,Janakpur,Boarding
Buddha Air,8:0:0,10:0:0,BHA701,Biratnagar,Delay due to weather
Yeti Airlines,8:5:0,10:0:0,NYT871,Bhairahawa,Delay due to weather
Shree Airlines,8:15:0,9:0:0,SHA221,Dhangadhi,Departed
Yeti Airlines,8:20:0,10:0:0,NYT781,Biratnagar,Delay due to weather
Shree Airlines,8:35:0,9:18:0,SHA431,Nepalgunj,Departed
Buddha Air,8:55:0,9:34:0,BHA605,Pokhara,Boarding
Buddha Air,9:0:0,10:0:0,BHA853,Bhairahawa,Delay due to weather
Shree Airlines,9:30:0,9:30:0,SHA733,Biratnagar,----
Buddha Air,9:40:0,9:40:0,BHA281,Tumlingtar,----
Buddha Air,9:45:0,9:45:0,BHA371,Bharatpur,Boarding
Buddha Air,9:45:0,9:45:0,BHA607,Pokhara,Boarding
Buddha Air,9:45:0,9:45:0,BHA953,Bhadrapur,----
Yeti Airlines,9:45:0,9:45:0,NYT675,Pokhara,Boarding
Shree Airlines,10:0:0,10:0:0,SHA941,Bhadrapur,----
Buddha Air,10:15:0,10:15:0,BHA703,Biratnagar,----
Shree Airlines,10:15:0,10:15:0,SHA121,Surkhet,----
Yeti Airlines,10:20:0,10:20:0,NYT921,Bhadrapur,----
Buddha Air,10:25:0,10:25:0,BHA403,Nepalgunj,----
Buddha Air,10:25:0,10:25:0,BHA503,Janakpur,----
Buddha Air,10:35:0,10:35:0,BHA553,Simara Airport,----
Buddha Air,10:35:0,10:35:0,BHA609,Pokhara,----
Nepal Airlines,10:35:0,10:35:0,RA187,Dang,----
Yeti Airlines,11:0:0,11:0:0,NYT677,Pokhara,----
Yeti Airlines,11:5:0,11:5:0,NYT873,Bhairahawa,----
Shree Airlines,11:10:0,11:10:0,SHA223,Dhangadhi,----
Buddha Air,11:15:0,11:15:0,BHA355,Bharatpur,----
Buddha Air,11:15:0,11:15:0,BHA855,Bhairahawa,----
Shree Airlines,11:15:0,11:15:0,SHA823,Bhairahawa,----
Buddha Air,11:20:0,11:20:0,BHA171,Rajbiraj,----
Buddha Air,11:25:0,11:25:0,BHA955,Bhadrapur,----
Yeti Airlines,11:30:0,11:30:0,NYT783,Biratnagar,----
Buddha Air,12:0:0,12:0:0,BHA611,Pokhara,----
Buddha Air,12:0:0,12:0:0,BHA705,Biratnagar,----
Shree Airlines,12:5:0,12:5:0,SHA735,Biratnagar,----
Shree Airlines,12:15:0,12:15:0,SHA435,Nepalgunj,----
Buddha Air,12:30:0,12:30:0,BHA555,Simara Airport,----
Yeti Airlines,12:35:0,12:35:0,NYT679,Pokhara,----
Buddha Air,12:50:0,12:50:0,BHA505,Janakpur,----
Buddha Air,12:50:0,12:50:0,BHA613,Pokhara,----
Buddha Air,12:50:0,12:50:0,BHA957,Bhadrapur,----
Buddha Air,13:0:0,13:0:0,BHA405,Nepalgunj,----
Buddha Air,13:5:0,13:5:0,BHA357,Bharatpur,----
Yeti Airlines,13:5:0,13:5:0,NYT423,Nepalgunj,----
Yeti Airlines,13:5:0,13:5:0,NYT785,Biratnagar,----
Yeti Airlines,13:10:0,13:10:0,NYT923,Bhadrapur,----
Buddha Air,13:25:0,13:25:0,BHA857,Bhairahawa,----
Shree Airlines,13:25:0,13:25:0,SHA943,Bhadrapur,----
Buddha Air,13:30:0,13:30:0,BHA137,Surkhet,----
Buddha Air,13:30:0,13:30:0,BHA373,Bharatpur,----
Yeti Airlines,13:35:0,13:35:0,NYT875,Bhairahawa,----
Buddha Air,13:45:0,13:45:0,BHA707,Biratnagar,----
Buddha Air,14:0:0,14:0:0,BHA615,Pokhara,----
Buddha Air,14:5:0,14:5:0,BHA507,Janakpur,----
Shree Airlines,14:5:0,14:5:0,SHA225,Dhangadhi,----
Shree Airlines,14:10:0,14:10:0,SHA123,Surkhet,----
Yeti Airlines,14:15:0,14:15:0,NYT681,Pokhara,----
Buddha Air,14:20:0,14:20:0,BHA379,Bharatpur,----
Shree Airlines,14:25:0,14:25:0,SHA827,Bhairahawa,----
Buddha Air,14:30:0,14:30:0,BHA253,Dhangadhi,----
Buddha Air,14:40:0,14:40:0,BHA617,Pokhara,----
Buddha Air,14:50:0,14:50:0,BHA801,Bhairahawa,----
Buddha Air,15:0:0,15:0:0,BHA709,Biratnagar,----
Shree Airlines,15:10:0,15:10:0,SHA737,Biratnagar,----
Yeti Airlines,15:25:0,15:25:0,NYT573,Janakpur,----
